tissue	cell_type_major	cell_type_minor	cell_type_subset	exp	markers
Immune	T cell	T cell CD4+	T cell (Tfh)	pos	"Btla,Cd3d,Cd3e,Cd3g,Cd4,Cd40lg,B3gat1,Cd84,Cxcr4,Cxcr5,Icos,Il6ra,Il21,Mme,Tnfrsf4,Pdcd1,Slamf1,Bcor,Maf,Stat3"
Immune	T cell	T cell CD4+	T cell (Tfh)	neg	"Cd8a,Cd14,Cd19"
Immune	T cell	T cell CD4+	T cell (Tfh)	sec	"Cxcl13,Ifng,Il4,Il10,Il17a,Il17f,Il21"
Immune	T cell	T cell CD4+	T cell (Th1)	pos	"Ccr1,Ccr5,Cd3e,Cd3d,Cd3g,Cd4,Cxcr3,Ifngr1,Ifngr2,Il12rb2,Il18r1,Il27ra,Stat1,Stat4,Tbx21"
Immune	T cell	T cell CD4+	T cell (Th1)	neg	"Cd8a,Cd14,Cd19"
Immune	T cell	T cell CD4+	T cell (Th1)	sec	"Ifng,Il2,Tnf,Lta"
Immune	T cell	T cell CD4+	T cell (Th2)	pos	"Ccr3,Ccr4,Ccr8,Cd3d,Cd3e,Cd3g,Cd4,Cxcr4,Il4ra,Il17rb,Il1rl1,Crlf2,"
Immune	T cell	T cell CD4+	T cell (Th2)	neg	"Cd8a,Cd14,Cd19"
Immune	T cell	T cell CD4+	T cell (Th2)	sec	"Il4,Il5,Il9,Il10,Il13,Il21"
Immune	T cell	T cell CD4+	T cell (Th9)	pos	"Cd3d,Cd3e,Cd3g,Cd4,Il4ra,Il17rb,Tgfbr2,Irf4,Spi1"
Immune	T cell	T cell CD4+	T cell (Th9)	neg	"Cd8a,Cd14,Cd19"
Immune	T cell	T cell CD4+	T cell (Th9)	sec	"Ccl17,Ccl22,Il9,Il10"
Immune	T cell	T cell CD4+	T cell (Th17)	pos	"Ccr4,Ccr6,Cd3d,Cd3e,Cd3g,Cd4,Il1r1,Il6ra,Il21,Il23,Tgfbr2,Batf,Irf4,Rora,Rorc,Stat3"
Immune	T cell	T cell CD4+	T cell (Th17)	neg	"Cd8a,Cd14,Cd19"
Immune	T cell	T cell CD4+	T cell (Th17)	sec	"Ccl20,Il17a,Il17f,Il21,Il22"
Immune	T cell	T cell CD4+	T cell (Th22)	pos	"Ccr4,Ccr6,Ccr10,Cd3d,Cd3e,Cd3g,Cd4,Il6ra,Tgfbr2,Tnfrsf1a,Ahr,Batf,Stat3"
Immune	T cell	T cell CD4+	T cell (Th22)	neg	"Cd8a,Cd14,Cd19,Klrb1,Klrb1a,Klrb1b,Klrb1c,Klrb1f"
Immune	T cell	T cell CD4+	T cell (Th22)	sec	"Ccl7,Ccl15,Fgf1,Fgf2,Fgf3,Fgf4,Fgf5,Fgf6,Fgf8,Fgf7,Fgf9,Fgf10,Il10,Il13,Il21,Il22,Tnf"
Immune	T cell	T cell CD4+	T cell (Treg)	pos	"Nt5e,Cd3d,Cd3e,Cd3g,Cd4,Cd5,Il2ra,Entpd1,Itgae,Il7r,Ctla4,Foxp3,Ikzf2,Lag3,Lap3,Lrrc32,Nrp1,Nt5e,Sell,Stat5a,Stat5b,Tnfrsf4,Tnfrsf18"
Immune	T cell	T cell CD4+	T cell (Treg)	neg	"Cd14,Cd19"
Immune	T cell	T cell CD4+	T cell (Treg)	sec	"Lgals1,Il10,Tgfb1,Tgfb2,Tgfb3"
Immune	T cell	T cell CD4+	T cell (Naive)	pos	"Cd3d,Cd3e,Cd3g,Cd4,Ccr7,Sell,Il7r,Lef1"
Immune	T cell	T cell CD4+	T cell (Naive)	neg	"Cd14,Cd19,Cd8a,Cd8b,Cd69,Il2ra,klrg1"
Immune	T cell	T cell CD8+	T cell (Cytotoxic)	pos	"Cd3d,Cd3e,Cd3g,Cd8a,Cd8b,Gzmb,Zfp36"
Immune	T cell	T cell CD8+	T cell (Cytotoxic)	neg	"Cd14,Cd19,Cd4"
Immune	T cell	ILC	ILC1	pos	"Il2ra,Ptprc,Itga1,Cd69,Il2rb,Il7r,Klrb1,Klrb1a,Klr1b,Klr1c,Klr1f,Icos,Il1r1,Il12rb2,Ncr1,Tbx21"
Immune	T cell	ILC	ILC1	neg	"Cd3d,Cd3e,Cd3g,Cd5,Itgam,Cd19,Ly6g,Ly76,Kit,Ptgdr2,Il17rb,Il23r,Eomes"
Immune	T cell	ILC	ILC1	sec	"Ifng,Tnf"
Immune	T cell	ILC	ILC2	pos	"Il2ra,Ptprc,Thy1,Kit,Il7r,Ptgdr2,Icos,Il17rb,Klrg1,Ly6a,Il1rl1,Crlf2,Gata3"
Immune	T cell	ILC	ILC2	neg	"Cd3d,Cd3e,Cd3g,Cd5,Itgam,Cd19,Ly6g,Ly76,Cd4,Fcer1a,Il12rb2,Ncr1"
Immune	T cell	ILC	ILC2	sec	"Areg,Il4,Il5,Il9,Il13"
